"Hora Unix";"Hora Local";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736429062.677262;"2025-01-09 10:24:22.677262";"000.01";0;" ";" ";" "
1736429062.707878;"2025-01-09 10:24:22.707878";"000.01";0;" ";" ";" "
1736429062.737404;"2025-01-09 10:24:22.737404";"000.01";0;" ";" ";" "
1736429062.766774;"2025-01-09 10:24:22.766774";"000.01";0;" ";" ";" "
1736429062.796272;"2025-01-09 10:24:22.796272";"000.01";0;" ";" ";" "
1736429062.82597;"2025-01-09 10:24:22.825970";"000.01";0;" ";" ";" "
1736429062.85592;"2025-01-09 10:24:22.855920";"000.01";0;" ";" ";" "
1736429062.885715;"2025-01-09 10:24:22.885715";"000.01";0;" ";" ";" "
1736429062.915113;"2025-01-09 10:24:22.915113";"000.01";0;" ";" ";" "
1736429062.944369;"2025-01-09 10:24:22.945391";"000.01";0;" ";" ";" "
1736429062.974372;"2025-01-09 10:24:22.974372";"000.01";0;" ";" ";" "
1736429063.004859;"2025-01-09 10:24:23.004859";"000.01";0;" ";" ";" "
1736429063.034308;"2025-01-09 10:24:23.034308";"000.01";0;" ";" ";" "
1736429063.063417;"2025-01-09 10:24:23.063417";"000.01";0;" ";" ";" "
1736429063.093299;"2025-01-09 10:24:23.093299";"000.01";0;" ";" ";" "
1736429063.122934;"2025-01-09 10:24:23.122934";"000.01";0;" ";" ";" "
1736429063.152512;"2025-01-09 10:24:23.152512";"000.01";0;" ";" ";" "
1736429063.206622;"2025-01-09 10:24:23.206622";"000.01";0;" ";" ";" "
1736429063.23595;"2025-01-09 10:24:23.235950";"000.01";0;" ";" ";" "
1736429063.265873;"2025-01-09 10:24:23.265873";"000.01";0;" ";" ";" "
1736429063.297755;"2025-01-09 10:24:23.297755";"000.01";0;" ";" ";" "
1736429063.326975;"2025-01-09 10:24:23.326975";"000.01";0;" ";" ";" "
1736429063.356782;"2025-01-09 10:24:23.356782";"000.01";0;" ";" ";" "
1736429063.386567;"2025-01-09 10:24:23.386567";"000.01";0;" ";" ";" "
1736429063.416652;"2025-01-09 10:24:23.416652";"000.01";0;" ";" ";" "
1736429063.447266;"2025-01-09 10:24:23.447266";"000.01";0;" ";" ";" "
1736429063.476093;"2025-01-09 10:24:23.476093";"000.01";0;" ";" ";" "
1736429063.50606;"2025-01-09 10:24:23.506060";"000.01";0;" ";" ";" "
1736429063.535359;"2025-01-09 10:24:23.535359";"000.01";0;" ";" ";" "
1736429063.565226;"2025-01-09 10:24:23.565226";"000.01";0;" ";" ";" "
1736429063.595228;"2025-01-09 10:24:23.595228";"000.01";0;" ";" ";" "
1736429063.624722;"2025-01-09 10:24:23.624722";"000.01";0;" ";" ";" "
1736429063.655124;"2025-01-09 10:24:23.655124";"000.01";0;" ";" ";" "
1736429063.684409;"2025-01-09 10:24:23.684409";"000.01";0;" ";" ";" "
1736429063.714694;"2025-01-09 10:24:23.714694";"000.01";0;" ";" ";" "
1736429063.744178;"2025-01-09 10:24:23.744178";"000.01";0;" ";" ";" "
1736429063.773253;"2025-01-09 10:24:23.773253";"000.01";0;" ";" ";" "
1736429063.803024;"2025-01-09 10:24:23.803024";"000.01";0;" ";" ";" "
1736429063.832221;"2025-01-09 10:24:23.832221";"000.01";0;" ";" ";" "
1736429063.861495;"2025-01-09 10:24:23.861495";"000.01";0;" ";" ";" "
1736429063.891384;"2025-01-09 10:24:23.891384";"000.01";0;" ";" ";" "
1736429063.920669;"2025-01-09 10:24:23.920669";"000.01";0;" ";" ";" "
1736429063.950044;"2025-01-09 10:24:23.950044";"000.01";0;" ";" ";" "
1736429063.981431;"2025-01-09 10:24:23.981431";"000.01";0;" ";" ";" "
1736429064.010225;"2025-01-09 10:24:24.010225";"000.01";0;" ";" ";" "
1736429064.040234;"2025-01-09 10:24:24.040234";"000.01";0;" ";" ";" "
1736429064.069355;"2025-01-09 10:24:24.069355";"000.01";0;" ";" ";" "
1736429064.098715;"2025-01-09 10:24:24.098715";"000.01";0;" ";" ";" "
1736429064.12816;"2025-01-09 10:24:24.128160";"000.01";0;" ";" ";" "
1736429064.158242;"2025-01-09 10:24:24.158242";"000.01";0;" ";" ";" "
1736429064.202556;"2025-01-09 10:24:24.202556";"000.01";0;" ";" ";" "
1736429064.233776;"2025-01-09 10:24:24.233776";"000.01";0;" ";" ";" "
1736429064.262689;"2025-01-09 10:24:24.262689";"000.01";0;" ";" ";" "
1736429064.291558;"2025-01-09 10:24:24.291558";"000.01";0;" ";" ";" "
1736429064.320577;"2025-01-09 10:24:24.320577";"000.01";0;" ";" ";" "
1736429064.350218;"2025-01-09 10:24:24.350218";"000.01";0;" ";" ";" "
1736429064.379369;"2025-01-09 10:24:24.379369";"000.01";0;" ";" ";" "
1736429064.40902;"2025-01-09 10:24:24.409020";"000.01";0;" ";" ";" "
1736429064.438599;"2025-01-09 10:24:24.438599";"000.01";0;" ";" ";" "
1736429064.46868;"2025-01-09 10:24:24.468680";"000.01";0;" ";" ";" "
1736429064.497553;"2025-01-09 10:24:24.497553";"000.01";0;" ";" ";" "
1736429064.527988;"2025-01-09 10:24:24.527988";"000.01";0;" ";" ";" "
1736429064.557309;"2025-01-09 10:24:24.557309";"000.01";0;" ";" ";" "
1736429064.58769;"2025-01-09 10:24:24.587690";"000.01";0;" ";" ";" "
1736429064.616902;"2025-01-09 10:24:24.616902";"000.01";0;" ";" ";" "
1736429064.647138;"2025-01-09 10:24:24.647138";"000.01";0;" ";" ";" "
1736429064.676193;"2025-01-09 10:24:24.676193";"000.01";0;" ";" ";" "
1736429064.705896;"2025-01-09 10:24:24.705896";"000.01";0;" ";" ";" "
1736429064.735502;"2025-01-09 10:24:24.735502";"000.01";0;" ";" ";" "
1736429064.765744;"2025-01-09 10:24:24.765744";"000.01";0;" ";" ";" "
1736429064.794895;"2025-01-09 10:24:24.794895";"000.01";0;" ";" ";" "
1736429064.824687;"2025-01-09 10:24:24.824687";"000.01";0;" ";" ";" "
1736429064.854505;"2025-01-09 10:24:24.854505";"000.01";0;" ";" ";" "
1736429064.88407;"2025-01-09 10:24:24.884070";"000.01";0;" ";" ";" "
1736429064.914607;"2025-01-09 10:24:24.914607";"000.01";0;" ";" ";" "
1736429064.944467;"2025-01-09 10:24:24.944467";"000.01";0;" ";" ";" "
1736429064.973938;"2025-01-09 10:24:24.973938";"000.01";0;" ";" ";" "
1736429065.003844;"2025-01-09 10:24:25.003844";"000.01";0;" ";" ";" "
1736429065.034039;"2025-01-09 10:24:25.034039";"000.01";0;" ";" ";" "
1736429065.063588;"2025-01-09 10:24:25.063588";"000.01";0;" ";" ";" "
1736429065.093285;"2025-01-09 10:24:25.093285";"000.01";0;" ";" ";" "
1736429065.123163;"2025-01-09 10:24:25.123163";"000.01";0;" ";" ";" "
1736429065.152821;"2025-01-09 10:24:25.152821";"000.01";0;" ";" ";" "
1736429065.18217;"2025-01-09 10:24:25.182170";"000.01";0;" ";" ";" "
1736429065.212342;"2025-01-09 10:24:25.212342";"000.01";0;" ";" ";" "
